                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.14704,                0.62488,                0.85517,                0.97656,                      1,                  0.995,                  0.995,                0.08164,                0.71842,                0.73742,             0.00016972,             0.00016972,             0.00016972
                     79,                0.17254,                0.66411,                0.86179,                0.97216,                      1,                  0.995,                  0.995,                0.07293,                0.71697,                0.73765,             0.00016265,             0.00016265,             0.00016265
                     80,                0.17643,                0.67605,                0.88921,                0.96855,                      1,                  0.995,                  0.995,                0.07038,                0.70071,                0.73894,             0.00015558,             0.00015558,             0.00015558
                     81,                0.20398,                0.68673,                0.86814,                0.97079,                      1,                  0.995,                  0.995,                 0.0712,                0.70299,                0.73941,             0.00014851,             0.00014851,             0.00014851
                     82,                0.16524,                0.66951,                0.84545,                0.97454,                      1,                  0.995,                  0.995,                0.07696,                0.72513,                0.74169,             0.00014144,             0.00014144,             0.00014144
                     83,                0.16008,                0.61803,                0.87601,                0.97719,                      1,                  0.995,                  0.995,                0.07843,                0.72458,                0.74244,             0.00013437,             0.00013437,             0.00013437
                     84,                0.15553,                0.67885,                0.87792,                0.97871,                      1,                  0.995,                  0.995,                0.07211,                0.69668,                0.74002,             0.00012731,             0.00012731,             0.00012731
                     85,                 0.1868,                0.73676,                 0.9025,                0.97901,                      1,                  0.995,                  0.995,                0.06878,                0.68194,                0.74002,             0.00012024,             0.00012024,             0.00012024
                     86,                0.14973,                0.62037,                0.86391,                0.97931,                      1,                  0.995,                  0.995,                0.07146,                0.67991,                0.73945,             0.00011317,             0.00011317,             0.00011317
                     87,                0.15179,                0.73246,                0.87562,                0.97947,                      1,                  0.995,                  0.995,                0.07271,                0.68061,                0.73858,              0.0001061,              0.0001061,              0.0001061
                     88,                0.17184,                0.61834,                0.88073,                0.97708,                      1,                  0.995,                  0.995,                0.06735,                0.67692,                0.73718,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.16917,                0.64056,                0.89434,                0.97683,                      1,                  0.995,                  0.995,                0.06963,                0.67313,                0.73772,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.14843,                0.63681,                0.86176,                0.97735,                      1,                  0.995,                  0.995,                0.07282,                0.68475,                 0.7381,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.10943,                0.75952,                0.81981,                0.97482,                      1,                  0.995,                  0.995,                0.07005,                0.71507,                0.73663,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 0.0947,                0.69647,                0.78575,                0.97576,                      1,                  0.995,                  0.995,                 0.0782,                0.80199,                 0.7382,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.09789,                0.71264,                0.77967,                0.97466,                      1,                  0.995,                  0.995,                0.08744,                0.84724,                0.73996,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.09876,                0.72087,                0.82505,                0.97477,                      1,                  0.995,                  0.995,                0.08318,                0.86855,                0.73941,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.08584,                0.72967,                0.80049,                0.97635,                      1,                  0.995,                  0.995,                0.06837,                0.80335,                0.73596,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.08883,                0.73196,                 0.8022,                0.97899,                      1,                  0.995,                  0.995,                0.06207,                0.72227,                0.73526,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.07915,                0.70249,                 0.7669,                0.97989,                      1,                  0.995,                  0.995,                0.06187,                0.69172,                 0.7353,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.08339,                0.68133,                0.78045,                0.98016,                      1,                  0.995,                  0.995,                0.06039,                0.65364,                0.73485,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.07927,                0.66662,                0.79534,                 0.9806,                      1,                  0.995,                  0.995,                0.06097,                0.63661,                0.73477,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.08379,                0.66285,                0.76916,                0.98088,                      1,                  0.995,                  0.995,                0.06093,                0.63083,                0.73438,             1.4209e-05,             1.4209e-05,             1.4209e-05
